model,layers,d_model,seq_len,batch_size,precision,kv_bytes,kv_gib,max_seq_len_H100_80GB,max_seq_len_H200_140GB,max_seq_len_V100_32GB,fits_H100_80GB,fits_H200_140GB,fits_V100_32GB
llama3-8b,32,4096,16384,1,fp16,8589934592,8.0000,163840,286720,65536,True,True,True
llama3-8b,32,4096,16384,1,int8,4294967296,4.0000,327680,573440,131072,True,True,True
llama3-8b,32,4096,32768,1,fp16,17179869184,16.0000,163840,286720,65536,True,True,True
llama3-8b,32,4096,32768,1,int8,8589934592,8.0000,327680,573440,131072,True,True,True
llama3-8b,32,4096,65536,1,fp16,34359738368,32.0000,163840,286720,65536,True,True,True
llama3-8b,32,4096,65536,1,int8,17179869184,16.0000,327680,573440,131072,True,True,True
llama3-8b,32,4096,131072,1,fp16,68719476736,64.0000,163840,286720,65536,True,True,False
llama3-8b,32,4096,131072,1,int8,34359738368,32.0000,327680,573440,131072,True,True,True
llama3-8b,32,4096,262144,1,fp16,137438953472,128.0000,163840,286720,65536,False,True,False
llama3-8b,32,4096,262144,1,int8,68719476736,64.0000,327680,573440,131072,True,True,False
llama3-70b,80,8192,16384,1,fp16,42949672960,40.0000,32768,57344,13107,True,True,False
llama3-70b,80,8192,16384,1,int8,21474836480,20.0000,65536,114688,26214,True,True,True
llama3-70b,80,8192,32768,1,fp16,85899345920,80.0000,32768,57344,13107,True,True,False
llama3-70b,80,8192,32768,1,int8,42949672960,40.0000,65536,114688,26214,True,True,False
llama3-70b,80,8192,65536,1,fp16,171798691840,160.0000,32768,57344,13107,False,False,False
llama3-70b,80,8192,65536,1,int8,85899345920,80.0000,65536,114688,26214,True,True,False
llama3-70b,80,8192,131072,1,fp16,343597383680,320.0000,32768,57344,13107,False,False,False
llama3-70b,80,8192,131072,1,int8,171798691840,160.0000,65536,114688,26214,False,False,False
llama3-70b,80,8192,262144,1,fp16,687194767360,640.0000,32768,57344,13107,False,False,False
llama3-70b,80,8192,262144,1,int8,343597383680,320.0000,65536,114688,26214,False,False,False
